,Apartment Address,Amenities,Amenity type,Rent price,Bedrooms,Bathrooms, 'Clothing Store', 'College Gym', 'College Gym'], 'College Rec Center', 'Convenience Store', 'Convenience Store'], 'Department Store', 'Department Store'], 'Discount Store', 'Electronics Store', 'Furniture / Home Store', 'Furniture / Home Store'], 'General Travel', 'Gym / Fitness Center', 'Hospital', 'IT Services', 'Miscellaneous Shop', 'Miscellaneous Shop'], 'Mobile Phone Shop', 'None', 'None'], 'Nudist Beach', 'Paper / Office Supplies Store', 'Paper / Office Supplies Store'], 'Smoke Shop', 'Smoke Shop'], 'Tourist Information Center', 'Veterinarian',[''],['Convenience Store',['Department Store',['Furniture / Home Store',['General Travel',['Gym / Fitness Center',['Miscellaneous Shop',['None',['Smoke Shop',['Tourist Information Center'
10,"31, Waggoners Lane, Rabbit Town, Sunshine Gardens, Fredericton, York County, New Brunswick, E3B 2L4, Canada","['Kwik-Way Convenience Store', 'Kwik-Way Convenience Store', 'Kwik-Way Convenience Store', 'Kwik-Way Convenience Store', 'Kwik-Way Convenience Store']","[""['Convenience Store'"", "" 'Convenience Store'"", "" 'Convenience Store'"", "" 'Convenience Store'"", "" 'Convenience Store']""]",800.0,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,"Priestman Street, Rabbit Town, Uptown, Fredericton, York County, New Brunswick, E3B 3H2, Canada","[""Dick's Grocery Store"", 'Great Canadian Dollar Store', 'Everything For A Dollar Store', 'kadam shoe store', 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store""]","[""['Smoke Shop'"", "" 'Discount Store'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop']""]",825.0,2,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,1,0
12,"202, Parkside Drive, Rabbit Town, Uptown, Fredericton, York County, New Brunswick, E3B 2T7, Canada","[""Dick's Grocery Store"", 'Everything For A Dollar Store', 'kadam shoe store', 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'kadam shoe store', ""Dick's Grocery Store""]","[""['Smoke Shop'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Smoke Shop']""]",825.0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,1,0
13,"171, Priestman Street, Rabbit Town, Uptown, Fredericton, York County, New Brunswick, E3B 3H2, Canada","[""Dick's Grocery Store"", 'Great Canadian Dollar Store', 'Everything For A Dollar Store', 'kadam shoe store', 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store""]","[""['Smoke Shop'"", "" 'Discount Store'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop']""]",825.0,2,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,1,0
14,"Greenfields Drive, Uptown, Fredericton, York County, New Brunswick, E3B 2T7, Canada","['kadam shoe store', 'Fredericton Animal Hospital', 'kadam shoe store', 'Fredericton Animal Hospital', 'kadam shoe store', 'Fredericton Animal Hospital', 'kadam shoe store', 'Fredericton Animal Hospital', 'kadam shoe store']","[""['Department Store'"", "" 'Veterinarian'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Department Store']""]",825.0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
15,"574, Forest Hill Road, Dunn's Crossing, Forest Hills, Fredericton, York County, New Brunswick, E3B 4K9, Canada","[""Raymonde's General Store"", ""Raymonde's General Store"", ""Raymonde's General Store"", ""Raymonde's General Store"", ""Raymonde's General Store""]","[""['None'"", "" 'None'"", "" 'None'"", "" 'None'"", "" 'None']""]",850.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,"Risteen""s Landing, 151, Queen Street, Victoria Circle, Downtown, Fredericton, York County, New Brunswick, Canada","['Militia Arms Store', 'Urban Almanac', 'Militia Arms Store', 'Urban Almanac', 'Militia Arms Store', 'Urban Almanac', 'Militia Arms Store', 'Urban Almanac', 'Militia Arms Store', 'Urban Almanac']","[""['Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store']""]",859.0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
17,"677, Windsor Street, College Hill, Downtown, Fredericton, York County, New Brunswick, E3B 5H5, Canada","['The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'The UPS Store', 'UPS Store']","[""['Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store']""]",875.0,2,1,0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,"202, Parkside Drive, Rabbit Town, Uptown, Fredericton, York County, New Brunswick, E3B 2T7, Canada","[""Dick's Grocery Store"", 'Everything For A Dollar Store', 'kadam shoe store', 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'kadam shoe store', ""Dick's Grocery Store""]","[""['Smoke Shop'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Smoke Shop']""]",900.0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,1,0
19,"Fredericton, York County, New Brunswick, Canada","['The Travel Store', 'Militia Arms Store', 'Urban Almanac', 'The Travel Store', 'Militia Arms Store', 'Urban Almanac', 'The Travel Store', 'Militia Arms Store', 'Urban Almanac', 'The Travel Store', 'Militia Arms Store', 'Urban Almanac', 'The Travel Store', 'Militia Arms Store', 'Urban Almanac']","[""['General Travel'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store']""]",900.0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
