,Apartment Address,Amenities,Amenity type,Rent price,Bedrooms,Bathrooms, 'Clothing Store', 'College Gym', 'College Gym'], 'College Rec Center', 'Convenience Store', 'Convenience Store'], 'Department Store', 'Department Store'], 'Discount Store', 'Electronics Store', 'Furniture / Home Store', 'Furniture / Home Store'], 'General Travel', 'Gym / Fitness Center', 'Hospital', 'IT Services', 'Miscellaneous Shop', 'Miscellaneous Shop'], 'Mobile Phone Shop', 'None', 'None'], 'Nudist Beach', 'Paper / Office Supplies Store', 'Paper / Office Supplies Store'], 'Smoke Shop', 'Smoke Shop'], 'Tourist Information Center', 'Veterinarian',[''],['Convenience Store',['Department Store',['Furniture / Home Store',['General Travel',['Gym / Fitness Center',['Miscellaneous Shop',['None',['Smoke Shop',['Tourist Information Center'
20,"Gilbert Street, NB Power, Youngs Crossing, Fredericton, York County, New Brunswick, E3A 4A1, Canada",[],"[""['']""]",900.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,"120, Dunns Crossing Road, Dunn's Crossing, Forest Hills, Fredericton, York County, New Brunswick, E3B 4K9, Canada",[],"[""['']""]",920.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,"19, Forest Hill Road, Town Platt, Forest Hills, Fredericton, York County, New Brunswick, E3B 5A3, Canada","['Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB']","[""['Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym']""]",950.0,2,1,0,7,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,"Gilbert Street, NB Power, Youngs Crossing, Fredericton, York County, New Brunswick, E3A 4A1, Canada",[],"[""['']""]",950.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,"530, Dundonald Street, Rabbit Town, Downtown, Fredericton, York County, New Brunswick, E3B 0V4, Canada","['The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store']","[""['Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store']""]",975.0,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
25,"Woodstock Road, Garden Creek, Fredericton, York County, New Brunswick, E3G 7J1, Canada",[],"[""['']""]",995.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,"700, Forest Hill Road, Dunn's Crossing, Forest Hills, Fredericton, York County, New Brunswick, E3B 4K9, Canada",[],"[""['']""]",995.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,"196, Dunns Crossing Road, Dunn's Crossing, Forest Hills, Fredericton, York County, New Brunswick, E3B 4K9, Canada",[],"[""['']""]",995.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,"260, Wetmore Road, Dunn's Crossing, Southwood Park, Fredericton, York County, New Brunswick, E3B 5H1, Canada",[],"[""['']""]",1025.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,"969, Regent Street, College Hill, Uptown, Fredericton, York County, New Brunswick, E3B 5W7, Canada","[""Dick's Grocery Store"", 'Dollar Store', 'Everything For A Dollar Store', 'Dr Everett Chalmers Regional Hospital', 'Dollar Store', 'Everything For A Dollar Store', ""Dick's Grocery Store"", 'Dr Everett Chalmers Regional Hospital', 'Dollar Store', 'Everything For A Dollar Store', ""Dick's Grocery Store"", 'Dr Everett Chalmers Regional Hospital', 'Dollar Store', 'Everything For A Dollar Store', ""Dick's Grocery Store"", 'Dr Everett Chalmers Regional Hospital', 'Dollar Store', 'Everything For A Dollar Store', ""Dick's Grocery Store""]","[""['Smoke Shop'"", "" 'Miscellaneous Shop'"", "" 'Miscellaneous Shop'"", "" 'Hospital'"", "" 'Miscellaneous Shop'"", "" 'Miscellaneous Shop'"", "" 'Smoke Shop'"", "" 'Hospital'"", "" 'Miscellaneous Shop'"", "" 'Miscellaneous Shop'"", "" 'Smoke Shop'"", "" 'Hospital'"", "" 'Miscellaneous Shop'"", "" 'Miscellaneous Shop'"", "" 'Smoke Shop'"", "" 'Hospital'"", "" 'Miscellaneous Shop'"", "" 'Miscellaneous Shop'"", "" 'Smoke Shop']""]",1025.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0
30,"1222, Regent Street, College Hill, Uptown, Fredericton, York County, New Brunswick, E3B 3Z2, Canada","[""Dick's Grocery Store"", 'American Eagle & Aerie Store', 'Great Canadian Dollar Store', 'Everything For A Dollar Store', 'The Fapple Store', 'BellAliant Store', 'TELUS', 'Jump +', 'Showcase Store As seen on TV', 'Dr Everett Chalmers Regional Hospital', 'American Eagle & Aerie Store', 'Everything For A Dollar Store', 'The Fapple Store', 'BellAliant Store', 'Great Canadian Dollar Store', 'TELUS', 'Jump +', 'Showcase Store As seen on TV', ""Dick's Grocery Store"", 'Dr Everett Chalmers Regional Hospital', 'American Eagle & Aerie Store', 'Everything For A Dollar Store', 'The Fapple Store', 'BellAliant Store', 'Great Canadian Dollar Store', 'TELUS', 'Jump +', 'Showcase Store As seen on TV', ""Dick's Grocery Store"", 'Dr Everett Chalmers Regional Hospital', 'American Eagle & Aerie Store', 'Everything For A Dollar Store', 'The Fapple Store', 'BellAliant Store', 'Great Canadian Dollar Store', 'TELUS', 'Jump +', 'Showcase Store As seen on TV', ""Dick's Grocery Store"", 'Dr Everett Chalmers Regional Hospital', 'American Eagle & Aerie Store', 'Everything For A Dollar Store', 'The Fapple Store', 'BellAliant Store', 'Great Canadian Dollar Store', 'TELUS', 'Jump +', 'Showcase Store As seen on TV', ""Dick's Grocery Store""]","[""['Smoke Shop'"", "" 'Clothing Store'"", "" 'Discount Store'"", "" 'Miscellaneous Shop'"", "" 'Electronics Store'"", "" 'Mobile Phone Shop'"", "" 'IT Services'"", "" 'Electronics Store'"", "" 'Department Store'"", "" 'Hospital'"", "" 'Clothing Store'"", "" 'Miscellaneous Shop'"", "" 'Electronics Store'"", "" 'Mobile Phone Shop'"", "" 'Discount Store'"", "" 'IT Services'"", "" 'Electronics Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Hospital'"", "" 'Clothing Store'"", "" 'Miscellaneous Shop'"", "" 'Electronics Store'"", "" 'Mobile Phone Shop'"", "" 'Discount Store'"", "" 'IT Services'"", "" 'Electronics Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Hospital'"", "" 'Clothing Store'"", "" 'Miscellaneous Shop'"", "" 'Electronics Store'"", "" 'Mobile Phone Shop'"", "" 'Discount Store'"", "" 'IT Services'"", "" 'Electronics Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Hospital'"", "" 'Clothing Store'"", "" 'Miscellaneous Shop'"", "" 'Electronics Store'"", "" 'Mobile Phone Shop'"", "" 'Discount Store'"", "" 'IT Services'"", "" 'Electronics Store'"", "" 'Department Store'"", "" 'Smoke Shop']""]",1035.0,1,1,5,0,0,0,0,0,5,0,5,10,0,0,0,0,4,5,5,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0
31,"611, Graham Avenue, College Hill, Downtown, Fredericton, York County, New Brunswick, E3B 0V4, Canada","['The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Candy land', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Candy land', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Candy land', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Candy land', 'The UPS Store', 'UPS Store']","[""['Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store']""]",1050.0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,"Risteen""s Landing, 151, Queen Street, Victoria Circle, Downtown, Fredericton, York County, New Brunswick, Canada","['Militia Arms Store', 'Urban Almanac', 'Militia Arms Store', 'Urban Almanac', 'Militia Arms Store', 'Urban Almanac', 'Militia Arms Store', 'Urban Almanac', 'Militia Arms Store', 'Urban Almanac']","[""['Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store'"", "" 'Tourist Information Center'"", "" 'Furniture / Home Store']""]",1099.0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
33,"Greenfields Drive, Uptown, Fredericton, York County, New Brunswick, E3B 2T7, Canada","['kadam shoe store', 'Fredericton Animal Hospital', 'kadam shoe store', 'Fredericton Animal Hospital', 'kadam shoe store', 'Fredericton Animal Hospital', 'kadam shoe store', 'Fredericton Animal Hospital', 'kadam shoe store']","[""['Department Store'"", "" 'Veterinarian'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Department Store']""]",1100.0,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
34,"E3B 5A3, Canada","['The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'The UPS Store', 'UPS Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'The UPS Store', 'UPS Store']","[""['Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store']""]",1150.0,1,1,0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,"787, Prospect Street, Bishop Heights, Fredericton, York County, New Brunswick, E3B 2T7, Canada",[],"[""['']""]",1185.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,"787, Prospect Street, Bishop Heights, Fredericton, York County, New Brunswick, E3B 2T7, Canada",[],"[""['']""]",1185.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
